api_name,year,month,avg_sla_score,avg_reliability_score,avg_health_score,avg_uptime_percentage,avg_error_rate,avg_response_time_ms
GitHub,2026,6,100.0,100.0,98.13,100.0,0.0,187.23
JSONPlaceholder,2026,6,100.0,100.0,98.98,100.0,0.0,102.36
OpenLibrary,2026,6,99.17,99.17,90.69,99.17,0.83,806.38
StackExchange,2026,6,98.79,98.79,94.72,98.79,1.21,345.73
SpaceX,2026,6,98.33,98.33,92.97,98.33,1.67,452.95
CoinGecko,2026,6,95.64,95.64,90.09,95.64,4.36,337.17
GitHub,2026,5,100.0,100.0,98.12,100.0,0.0,188.34
JSONPlaceholder,2026,5,99.92,99.92,99.04,99.92,0.08,83.87
StackExchange,2026,5,99.12,99.12,95.76,99.12,0.88,292.25
OpenLibrary,2026,5,97.68,97.68,88.86,97.68,2.32,765.59
SpaceX,2026,5,97.68,97.68,92.14,97.68,2.32,438.06
CoinGecko,2026,5,95.43,95.43,89.91,95.43,4.57,324.14
