api_name,date,reliability_score
CoinGecko,2026-06-05,96.97
GitHub,2026-06-05,100.0
JSONPlaceholder,2026-06-05,100.0
OpenLibrary,2026-06-05,100.0
SpaceX,2026-06-05,100.0
StackExchange,2026-06-05,93.94
CoinGecko,2026-06-04,93.75
GitHub,2026-06-04,100.0
JSONPlaceholder,2026-06-04,100.0
OpenLibrary,2026-06-04,100.0
SpaceX,2026-06-04,100.0
StackExchange,2026-06-04,100.0
CoinGecko,2026-06-03,100.0
GitHub,2026-06-03,100.0
JSONPlaceholder,2026-06-03,100.0
OpenLibrary,2026-06-03,95.83
SpaceX,2026-06-03,97.92
StackExchange,2026-06-03,100.0
CoinGecko,2026-06-02,89.58
GitHub,2026-06-02,100.0
JSONPlaceholder,2026-06-02,100.0
OpenLibrary,2026-06-02,100.0
SpaceX,2026-06-02,97.92
StackExchange,2026-06-02,100.0
CoinGecko,2026-06-01,97.92
GitHub,2026-06-01,100.0
JSONPlaceholder,2026-06-01,100.0
OpenLibrary,2026-06-01,100.0
SpaceX,2026-06-01,95.83
StackExchange,2026-06-01,100.0
CoinGecko,2026-05-31,87.5
GitHub,2026-05-31,100.0
JSONPlaceholder,2026-05-31,100.0
OpenLibrary,2026-05-31,95.83
SpaceX,2026-05-31,100.0
StackExchange,2026-05-31,97.92
CoinGecko,2026-05-30,100.0
GitHub,2026-05-30,100.0
JSONPlaceholder,2026-05-30,100.0
OpenLibrary,2026-05-30,93.75
SpaceX,2026-05-30,100.0
StackExchange,2026-05-30,95.83
CoinGecko,2026-05-29,97.92
GitHub,2026-05-29,100.0
JSONPlaceholder,2026-05-29,100.0
OpenLibrary,2026-05-29,97.92
SpaceX,2026-05-29,97.92
StackExchange,2026-05-29,100.0
CoinGecko,2026-05-28,100.0
GitHub,2026-05-28,100.0
JSONPlaceholder,2026-05-28,100.0
OpenLibrary,2026-05-28,100.0
SpaceX,2026-05-28,95.83
StackExchange,2026-05-28,100.0
CoinGecko,2026-05-27,91.67
GitHub,2026-05-27,100.0
JSONPlaceholder,2026-05-27,100.0
OpenLibrary,2026-05-27,97.92
SpaceX,2026-05-27,100.0
StackExchange,2026-05-27,97.92
CoinGecko,2026-05-26,97.92
GitHub,2026-05-26,100.0
JSONPlaceholder,2026-05-26,100.0
OpenLibrary,2026-05-26,95.83
